Id,Title,Description,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
EP-TA20EWEUGWW,Cargador de carga r&aacute;pida ,"Lleva siempre contigo el cargador de carga r&aacute;pida de Samsung. Es compatible con cualquier otro dispositivo microUSB, por lo que siempre tendr&aacute;s tu Smartphone cargado y listo.",in stock,new,24.90 EUR,24.90 EUR,https://images.samsung.com/is/image/samsung/es-travel-adapter-micro-usb-ta20-ep-ta20eweugww-000074630-l-perspective-white?$ORIGIN_PNG$,8806086511162,Productos | Accesorios | Accesorios smartphones | Cargadores y Baterias | Accesorios | Accesorios smartphones | Cargadores y Baterias,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-smartphones/Cargadores-y-Bater%C3%ADas/Cargador-de-carga-r%C3%A1pida/p/EP-TA20EWEUGWW
GE87M-X/XEC,Hornos-microondas con grill 23L 900W/Grill 1100W Inox GE87M-X,"El nuevo microondas de Samsung, con un sofisticado y minimalista dise&ntilde;o de espejo en color negro, dar&aacute; un toque de estilo a tu cocina. Adem&aacute;s, podr&aacute;s manejarlo con facilidad gracias a su control t&aacute;ctil.",in stock,new,144.99 EUR,144.99 EUR,https://images.samsung.com/is/image/samsung/es-microwave-ge87m-x-ge87m-x-xec-frontsilver-62978361?$ORIGIN_PNG$,8806085319042,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Hornos-microondas-con-grill-23L-900W-Grill-1100W-Inox-GE87M-X/p/GE87M-X/XEC
MG23F301TAK/EC,Horno-microondas con grill de 23L 800W/Grill 1100W Negro MG23F301TAK,Sustituye tus platos precocinados por comidas caseras m&aacute;s saludables gracias al horno microondas Samsung F300G. Podr&aacute;s cocinar deliciosos platos en cuesti&oacute;n de minutos de la forma m&aacute;s sencilla con la ayuda de sus 20 modos de preparaci&oacute;n.,in stock,new,125.01 EUR,125.01 EUR,https://images.samsung.com/is/image/samsung/es-microwave-oven-grill-mg23f301tak-mg23f301tak-ec-001-front?$ORIGIN_PNG$,8806085848696,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-con-grill-de-23-L-MG23F301TAK/p/MG23F301TAK/EC
HAFEX/EXP,Filtro frigor&iacute;fico Exterior,"Cuando compres un frigor&iacute;fico Side by Side o  Foodshowcase de Samsung con dispensador de agua y hielo, te garantizar&aacute;s que no haya contaminantes o bacterias en tu agua. As&iacute; disfrutar&aacute;s siempre de agua fresca y filtrada.",in stock,new,59.00 EUR,59.00 EUR,https://images.samsung.com/is/image/samsung/es-refrigerators-filter-hafex-hafex-exp-001-front?$ORIGIN_PNG$,8803821751296,Productos | Accesorios | Accesorios electrodomesticos | Acc frigorificos | Accesorios | Accesorios electrodomesticos | Acc frigorificos,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Exterior/p/HAFEX/EXP
HAFIN2/EXP,Filtro frigor&iacute;fico Interior,"Cuando compres un frigor&iacute;fico Side by Side de Samsung con dispensador de agua y hielo, te garantizar&aacute;s que no haya contaminantes o bacterias en tu agua. As&iacute; disfrutar&aacute;s siempre de agua fresca y filtrada.",in stock,new,68.99 EUR,68.99 EUR,https://images.samsung.com/is/image/samsung/es-refrigerators-filter-hafin2-hafin2-exp-001-front-white?$ORIGIN_PNG$,8803821890919,Productos | Accesorios | Accesorios electrodomesticos | Acc frigorificos | Accesorios | Accesorios electrodomesticos | Acc frigorificos,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Interior/p/HAFIN2/EXP
VCA-RBT20,Bater&iacute;a Navibot,&nbsp;features,in stock,new,79.00 EUR,79.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-robot-battery-rbt-20-vca-rbt20-001-front?$ORIGIN_PNG$,8808993841295,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot/p/VCA-RBT20
VCA-RBT30,Bater&iacute;a Navibot S ,&nbsp;,in stock,new,79.00 EUR,79.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-robot-battery-rbt-30-vca-rbt30-001-front?$ORIGIN_PNG$,8806085145955,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot-S/p/VCA-RBT30
VCA-VP78MF,Bolsa Aspirador (x4) + Filtro premotor ,,in stock,new,12.00 EUR,12.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-bag-filter-vp-78mf-vca-vp78mf-001-front-white?$ORIGIN_PNG$,8806085835801,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bolsa-Aspirador-%28x4%29-%2B-Filtro-premotor/p/VCA-VP78MF
RZ32M7135S9/ES,Congelador Twin Inox Clasificaci&oacute;n Energ&eacute;tica F RZ32M7135S9,"Los nuevos congeladores TWIN cuentan con una mayor capacidad interior manteniendo el mismo tama&ntilde;o exterior, para que as&iacute; encajen sin problema en tu cocina. Tendr&aacute;s espacio de sobra para guardar toda tu compra semanal, y mantener su interior totalmente organizado.",preorder,new,979.00 EUR,734.25 EUR,https://images.samsung.com/is/image/samsung/es-twin-rz32m7135s9-rz32m7135s9-es-frontsilver-66829120?$ORIGIN_PNG$,8806088756943,Productos | Electrodomesticos | Frigorificos | Combis 2 metros | Electrodomesticos | Frigorificos | Combis 2 metros,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Congelador-Twin-Inox-Clasificaci%C3%B3n-Energ%C3%A9tica-F-RZ32M7135S9/p/RZ32M7135S9/ES
RR39M7165S9/ES,Frigor&iacute;fico Twin 387L Inox Clasificaci&oacute;n Energ&eacute;tica E RR39M7165S9,"Los nuevos frigor&iacute;ficos TWIN cuentan con una mayor capacidad y el mismo tama&ntilde;o de siempre, para que as&iacute; encajen sin problema en tu cocina. Tendr&aacute;s espacio de sobra para guardar toda tu compra semanal, y mantener su interior totalmente organizado.",in stock,new,929.00 EUR,696.75 EUR,https://images.samsung.com/is/image/samsung/es-one-door-rr39m7165s9-rr39m7165s9-es-Silver-68774411?$ORIGIN_PNG$,8806088756790,Productos | Electrodomesticos | Frigorificos | Twin | Electrodomesticos | Frigorificos | Twin,Samsung,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Twin-387L-Inox-Clasificaci%C3%B3n-Energ%C3%A9tica-E-RR39M7165S9/p/RR39M7165S9/ES
