Id,Link
EP-TA20EWEUGWW,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-smartphones/Cargadores-y-Bater%C3%ADas/Cargador-de-carga-r%C3%A1pida/p/EP-TA20EWEUGWW
GE87M-X/XEC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Hornos-microondas-con-grill-23L-900W-Grill-1100W-Inox-GE87M-X/p/GE87M-X/XEC
MG23F301TAK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-con-grill-de-23-L-MG23F301TAK/p/MG23F301TAK/EC
HAFEX/EXP,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Exterior/p/HAFEX/EXP
HAFIN2/EXP,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Interior/p/HAFIN2/EXP
VCA-RBT20,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot/p/VCA-RBT20
VCA-RBT30,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot-S/p/VCA-RBT30
VCA-VP78MF,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bolsa-Aspirador-%28x4%29-%2B-Filtro-premotor/p/VCA-VP78MF
RZ32M7135S9/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Congelador-Twin-Inox-Clasificaci%C3%B3n-Energ%C3%A9tica-F-RZ32M7135S9/p/RZ32M7135S9/ES
RR39M7165S9/ES,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/REF%3ARefrigerator/Frigor%C3%ADfico-Twin-387L-Inox-Clasificaci%C3%B3n-Energ%C3%A9tica-E-RR39M7165S9/p/RR39M7165S9/ES
VG-SOCM15/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Cable-%C3%93ptico-Casi-Invisible-de-15-metros/p/VG-SOCM15/XC
MB-MC32GA/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC32GA/EU
MC28M6055CS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Hornos-microondas-de-convecci%C3%B3n-MC28M6055CS/p/MC28M6055CS/EC
VG-SGSM11S/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Soporte-de-televisor-Peana-Samsung-Tower-VG-SGSM11S/p/VG-SGSM11S/XC
SK-DA,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora-de-uso-dom%C3%A9stico/p/SK-DA
SK-DH,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora/p/SK-DH
SKK-DD,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Kit-de-uni%C3%B3n-lavadora-y-secadora-SKK-DD/p/SKK-DD
