,Id,Title,Description,Item_Group_Id,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link,category,TrackingId
0,DW60M5050FS/EC,DW60M5050FS Máquina de Lavar Loiça F Prateado 13 conjuntos,"Com o amplo ecrã LED, de fácil leitura, pode monitorizar e controlar a lavagem da sua loiça. O ecrã permite verificar as configurações, o tempo restante de lavagem e o progresso do ciclo.",DW60M5050FS,preorder,new,589.90 EUR,499.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw60m5050fs-dw60m5050fs-ec-frontsilver-117549068?$320_320_PNG$,8801643474294.0,Produtos | Maquina de loica | Eficiencia Energetica A+ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506765956;314049181;p?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-stss-dw60m5050fs-ec/?cid=pt_pd_social_facebook_dw60m5050fs-maquina-de-lavar-loica-f-dw60m5050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,da-dishwasher,cid=pt_pd_social_facebook_dw60m5050fs-mandaacute;quina-de-lavar-loiandccedil;a-f-dw60m5050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none
1,DW60M6040FS/EC,Máquina de Lavar Loiça Samsung  Prateado 13 conjuntos,Compre já a Máquina de Lavar Loiça Samsung em Pratreado e Capacidade para 13 conjuntos. Envio gratuito.,DW60M6040FS,in stock,new,679.89 EUR,579.00 EUR,https://images.samsung.com/is/image/samsung/pt-dishwashers-dw60m6040fs-dw60m6040fs-ec-frontsilver-70658852?$320_320_PNG$,8806088923529.0,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671998;314049169;x?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-stss-dw60m6040fs-ec/?cid=pt_pd_social_facebook_maquina-de-lavar-loica-samsung-em-branco-e-capacidade-para-13-conjuntos-dw60m6040fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,da-dishwasher,cid=pt_pd_social_facebook_dw60m6040fs-mandaacute;quina-de-lavar-loiandccedil;a-e-dw60m6040fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none
2,HAF-CIN/EXP,Filtro HAF-CIN/EXP Branco,Compre já o Filtro HAF-CIN/EXP na Samsung. Envio gratuito e entrega até 3 dias.,HAF-CIN,in stock,new,59.90 EUR,59.90 EUR,https://images.samsung.com/is/image/samsung/pt-refrigerators-filter-haf-cinexp-haf-cin-exp-frontwhite-106239123?$320_320_PNG$,8808993705788.0,Produtos | Accessories | Electrodomesticos Accessorios | Produtos | Eletrodomesticos | Electrodomesticos Accessorios,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506765950;313931541;i?https://www.samsung.com/pt/home-appliance-accessories/refrigerators-filter-haf-cinexp-haf-cin-exp/?cid=pt_pd_social_facebook_filtro-haf-cin-exp-haf-cin-exp_ongoing_da-accessories-automatic-feed_pla_none_none]]>,da-accessories,cid=pt_pd_social_facebook_filtro-haf-cin-exp-haf-cin-exp_ongoing_da-accessories-automatic-feed_pla_none_none
5,MS23K3513AW/EC,Micro-Ondas Samsung Simples 23L Branco,Compre já o Micro-Ondas Samsung Simples 23L. Envio grátis.,MS23K3513AW,in stock,new,134.89 EUR,119.90 EUR,https://images.samsung.com/is/image/samsung/pt-microwave-oven-solo-ms23k3513awec-ms23k3513aw-ec-frontwhite-106100666?$320_320_PNG$,8806088219639.0,Produtos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas Simples,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506671935;313932063;h?https://www.samsung.com/pt/microwave-ovens/solo/microwave-oven-solo-ms23k3513awec/?cid=pt_pd_social_facebook_micro-ondas-samsung-simples-23l-ms23k3513aw-ec_ongoing_da-microwave-automatic-feed_pla_none_none]]>,da-microwave,"cid=pt_pd_social_facebook_ms23k3513aw-micro-ondas-simples-com-cerandacirc;mica-enamel,-23l-ms23k3513aw-ec_ongoing_da-microwave-automatic-feed_pla_none_none"
6,RL4363FBASL/EF,Frigorífico Samsung Combinado com Dispensador de Água  Prateado 458 L,"Compre já o Frigorífico Samsung Combinado com Dispensador de Água 458L, F. Envio gratuito.",RL4363FBASL,in stock,new,1199.90 EUR,999.00 EUR,https://images.samsung.com/is/image/samsung/pt-refrigerator--bottom-freezer-rl4363fbasl-ef-frontsilver-61445848?$320_320_PNG$,8806085204829.0,Produtos | Frigorificos | Frigorificos Combinados | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Combinados,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765920;313931850;i?https://www.samsung.com/pt/refrigerators/bottom-mount-freezer/432l-ez-clean-steel-rl4363fbasl-ef/?cid=pt_pd_social_facebook_frigorifico-samsung-combinado-com-dispensador-de-agua-458l,-f-rl4363fbasl-ef_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rl4363fbasl-combinado-com-dispensador-de-andaacute;gua,-458-l,-f-rl4363fbasl-ef_ongoing_da-refrigerator-automatic-feed_pla_none_none"
7,RT29K5030S8/ES,Frigorífico Samsung com Twin Cooling Plus™ Prateado 300 L,"Compre já o Frigorífico Samsung com Twin Cooling Plus™, 299L. Envio gratuito.",RT29K5030S8,in stock,new,659.90 EUR,589.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030s8-rt29k5030s8-es-001-front-silver?$320_320_PNG$,8806088228143.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765941;313931817;o?https://www.samsung.com/pt/refrigerators/top-mount-freezer/300l-look-inox-rt29k5030s8-es/?cid=pt_pd_social_facebook_frigorifico-samsung-com-twin-cooling-plus,-299l-rt29k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rt29k5030s8-com-twin-cooling-plusandtrade;,-299-l-rt29k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
8,RT32K5030WW/ES,Frigorífico Samsung com Twin Cooling Plus™ Branco 321 L,"Compre já o Frigorífico Samsung com Twin Cooling Plus™, 320L. Envio gratuito.",RT32K5030WW,in stock,new,724.90 EUR,639.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030ww-rt32k5030ww-es-001-front-white?$320_320_PNG$,8806088145914.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765932;313931808;o?https://www.samsung.com/pt/refrigerators/top-mount-freezer/321l-white-rt32k5030ww-es/?cid=pt_pd_social_facebook_frigorifico-samsung-com-twin-cooling-plus,-320l-rt32k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rt32k5030ww-com-twin-cooling-plusandtrade;,-320-l-rt32k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
9,RT38K5530S8/ES,Frigorífico Samsung Twin Cooling Plus Prateado 384 L,Compre já o Frigorífico Samsung Twin Cooling Plus 384L. Envio gratuito.,RT38K5530S8,in stock,new,879.91 EUR,729.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt38k5530s8-rt38k5530s8-es-001-front-silver?$320_320_PNG$,8806088228068.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,<![CDATA[https://ad.doubleclick.net/ddm/clk/506765854;313931805;o?https://www.samsung.com/pt/refrigerators/top-mount-freezer/384l-look-inox-rt38k5530s8-es/?cid=pt_pd_social_facebook_frigorifico-samsung-twin-cooling-plus-384l-rt38k5530s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,da-refrigerator,"cid=pt_pd_social_facebook_rt38k5530s8-com-twin-cooling-plusandtrade;,-384-l-rt38k5530s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
10,RT29K5030WW/ES,Frigorífico Samsung com Twin Cooling Plus™ Branco 300 L,"Compre já o Frigorífico Samsung com Twin Cooling Plus™, 299L. Envio gratuito.",RT29K5030WW,in stock,new,619.90 EUR,549.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030ww-rt29k5030ww-es-001-front-white?$320_320_PNG$,8806088145433.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765938;313931814;r?https://www.samsung.com/pt/refrigerators/top-mount-freezer/300l-white-rt29k5030ww-es/?cid=pt_pd_social_facebook_frigorifico-samsung-com-twin-cooling-plus,-299l-rt29k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rt29k5030ww-com-twin-cooling-plusandtrade;,-299-l-rt29k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
11,RT32K5030S8/ES,Frigorífico Samsung com Twin Cooling Plus™ Prateado 321 L,"Compre já o Frigorífico Samsung com Twin Cooling Plus™, 320L. Envio gratuito.",RT32K5030S8,in stock,new,774.90 EUR,659.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030s8-rt32k5030s8-es-001-front-silver?$320_320_PNG$,8806088228150.0,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,"<![CDATA[https://ad.doubleclick.net/ddm/clk/506765935;313931811;l?https://www.samsung.com/pt/refrigerators/top-mount-freezer/321l-look-inox-rt32k5030s8-es/?cid=pt_pd_social_facebook_frigorifico-samsung-com-twin-cooling-plus,-320l-rt32k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>",da-refrigerator,"cid=pt_pd_social_facebook_rt32k5030s8-com-twin-cooling-plusandtrade;,-320-l-rt32k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none"
