,Id,Title,Description,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link,category,TrackingId
0,EP-TA20EWEUGWW,Cargador de carga rápida ,"Lleva siempre contigo el cargador de carga rápida de Samsung. Es compatible con cualquier otro dispositivo microUSB, por lo que siempre tendrás tu Smartphone cargado y listo.",in stock,new,24.90 EUR,24.90 EUR,https://images.samsung.com/is/image/samsung/es-travel-adapter-micro-usb-ta20-ep-ta20eweugww-000074630-l-perspective-white?$320_320_PNG$,8806086511162.0,Productos | Accesorios | Accesorios smartphones | Cargadores y Baterias | Accesorios | Accesorios smartphones | Cargadores y Baterias,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-smartphones/Cargadores-y-Bater%C3%ADas/Cargador-de-carga-r%C3%A1pida/p/EP-TA20EWEUGWW?cid=es_pd_ppc_google_cargador-de-carga-randaacute;pida--ep-ta20eweugww_ongoing_im-accessories-automatic-feed_pla_none_none,im-accessories,cid=es_pd_ppc_google_cargador-de-carga-randaacute;pida--ep-ta20eweugww_ongoing_im-accessories-automatic-feed_pla_none_none
1,GE87M-X/XEC,Hornos-microondas con grill 23L 900W/Grill 1100W Inox GE87M-X,"El nuevo microondas de Samsung, con un sofisticado y minimalista diseño de espejo en color negro, dará un toque de estilo a tu cocina. Además, podrás manejarlo con facilidad gracias a su control táctil.",in stock,new,144.99 EUR,144.99 EUR,https://images.samsung.com/is/image/samsung/es-microwave-ge87m-x-ge87m-x-xec-frontsilver-62978361?$320_320_PNG$,8806085319042.0,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://www.samsung.com/es/microwave-ovens/convection/microwave-ge87m-x/?cid=es_pd_ppc_google_hornos-microondas-con-grill-23l-900w-grill-1100w-inox-ge87m-x-ge87m-x-xec_ongoing_none-none-automatic-feed_pla_none_none,none-none,cid=es_pd_ppc_google_hornos-microondas-con-grill-23l-900w-grill-1100w-inox-ge87m-x-ge87m-x-xec_ongoing_none-none-automatic-feed_pla_none_none
2,MG23F301TAK/EC,Horno-microondas con grill de 23L 800W/Grill 1100W Negro MG23F301TAK,Sustituye tus platos precocinados por comidas caseras más saludables gracias al horno microondas Samsung F300G. Podrás cocinar deliciosos platos en cuestión de minutos de la forma más sencilla con la ayuda de sus 20 modos de preparación.,in stock,new,125.01 EUR,125.01 EUR,https://images.samsung.com/is/image/samsung/es-microwave-oven-grill-mg23f301tak-mg23f301tak-ec-001-front?$320_320_PNG$,8806085848696.0,Productos | Electrodomesticos | Hornos - Microondas | Electrodomesticos | Hornos - Microondas | Productos | Electrodomesticos | Cocina | Hornos - Microondas | Electrodomesticos | Cocina | Hornos - Microondas,Samsung,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-con-grill-de-23-L-MG23F301TAK/p/MG23F301TAK/EC?cid=es_pd_ppc_google_horno-microondas-con-grill-de-23l-800w-grill-1100w-negro-mg23f301tak-mg23f301tak-ec_ongoing_da-microwave-automatic-feed_pla_none_none,da-microwave,cid=es_pd_ppc_google_horno-microondas-con-grill-de-23l-800w-grill-1100w-negro-mg23f301tak-mg23f301tak-ec_ongoing_da-microwave-automatic-feed_pla_none_none
3,HAFEX/EXP,Filtro frigorífico Exterior,"Cuando compres un frigorífico Side by Side o  Foodshowcase de Samsung con dispensador de agua y hielo, te garantizarás que no haya contaminantes o bacterias en tu agua. Así disfrutarás siempre de agua fresca y filtrada.",in stock,new,59.00 EUR,59.00 EUR,https://images.samsung.com/is/image/samsung/es-refrigerators-filter-hafex-hafex-exp-001-front?$320_320_PNG$,8803821751296.0,Productos | Accesorios | Accesorios electrodomesticos | Acc frigorificos | Accesorios | Accesorios electrodomesticos | Acc frigorificos,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Exterior/p/HAFEX/EXP?cid=es_pd_ppc_google_filtro-frigorandiacute;fico-exterior-hafex-exp_ongoing_none-none-automatic-feed_pla_none_none,none-none,cid=es_pd_ppc_google_filtro-frigorandiacute;fico-exterior-hafex-exp_ongoing_none-none-automatic-feed_pla_none_none
4,HAFIN2/EXP,Filtro frigorífico Interior,"Cuando compres un frigorífico Side by Side de Samsung con dispensador de agua y hielo, te garantizarás que no haya contaminantes o bacterias en tu agua. Así disfrutarás siempre de agua fresca y filtrada.",in stock,new,68.99 EUR,68.99 EUR,https://images.samsung.com/is/image/samsung/es-refrigerators-filter-hafin2-hafin2-exp-001-front-white?$320_320_PNG$,8803821890919.0,Productos | Accesorios | Accesorios electrodomesticos | Acc frigorificos | Accesorios | Accesorios electrodomesticos | Acc frigorificos,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-frigor%C3%ADficos/Filtro-frigor%C3%ADfico-Interior/p/HAFIN2/EXP?cid=es_pd_ppc_google_filtro-frigorandiacute;fico-interior-hafin2-exp_ongoing_none-none-automatic-feed_pla_none_none,none-none,cid=es_pd_ppc_google_filtro-frigorandiacute;fico-interior-hafin2-exp_ongoing_none-none-automatic-feed_pla_none_none
5,VCA-RBT20,Batería Navibot, features,in stock,new,79.00 EUR,79.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-robot-battery-rbt-20-vca-rbt20-001-front?$320_320_PNG$,8808993841295.0,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot/p/VCA-RBT20?cid=es_pd_ppc_google_baterandiacute;a-navibot-vca-rbt20_ongoing_da-vacuum-automatic-feed_pla_none_none,da-vacuum,cid=es_pd_ppc_google_baterandiacute;a-navibot-vca-rbt20_ongoing_da-vacuum-automatic-feed_pla_none_none
6,VCA-RBT30,Batería Navibot S , ,in stock,new,79.00 EUR,79.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-robot-battery-rbt-30-vca-rbt30-001-front?$320_320_PNG$,8806085145955.0,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot-S/p/VCA-RBT30?cid=es_pd_ppc_google_baterandiacute;a-navibot-s--vca-rbt30_ongoing_da-vacuum-automatic-feed_pla_none_none,da-vacuum,cid=es_pd_ppc_google_baterandiacute;a-navibot-s--vca-rbt30_ongoing_da-vacuum-automatic-feed_pla_none_none
7,VCA-VP78MF,Bolsa Aspirador (x4) + Filtro premotor ,,in stock,new,12.00 EUR,12.00 EUR,https://images.samsung.com/is/image/samsung/es-vacuum-cleaners-bag-filter-vp-78mf-vca-vp78mf-001-front-white?$320_320_PNG$,8806085835801.0,Productos | Accesorios | Accesorios electrodomesticos | Acc aspiradores | Accesorios | Accesorios electrodomesticos | Acc aspiradores,Samsung,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bolsa-Aspirador-%28x4%29-%2B-Filtro-premotor/p/VCA-VP78MF?cid=es_pd_ppc_google_bolsa-aspirador-(x4)-+-filtro-premotor--vca-vp78mf_ongoing_da-vacuum-automatic-feed_pla_none_none,da-vacuum,cid=es_pd_ppc_google_bolsa-aspirador-(x4)-+-filtro-premotor--vca-vp78mf_ongoing_da-vacuum-automatic-feed_pla_none_none
8,RZ32M7135S9/ES,Congelador Twin Inox Clasificación Energética F RZ32M7135S9,"Los nuevos congeladores TWIN cuentan con una mayor capacidad interior manteniendo el mismo tamaño exterior, para que así encajen sin problema en tu cocina. Tendrás espacio de sobra para guardar toda tu compra semanal, y mantener su interior totalmente organizado.",preorder,new,979.00 EUR,734.25 EUR,https://images.samsung.com/is/image/samsung/es-twin-rz32m7135s9-rz32m7135s9-es-frontsilver-66829120?$320_320_PNG$,8806088756943.0,Productos | Electrodomesticos | Frigorificos | Combis 2 metros | Electrodomesticos | Frigorificos | Combis 2 metros,Samsung,https://www.samsung.com/es/refrigerators/one-door/315l-ez-clean-steel-rz32m7135s9-es/?cid=es_pd_ppc_google_congelador-twin-inox-clasificaciandoacute;n-energandeacute;tica-f-rz32m7135s9-rz32m7135s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none,da-refrigerator,cid=es_pd_ppc_google_congelador-twin-inox-clasificaciandoacute;n-energandeacute;tica-f-rz32m7135s9-rz32m7135s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none
9,RR39M7165S9/ES,Frigorífico Twin 387L Inox Clasificación Energética E RR39M7165S9,"Los nuevos frigoríficos TWIN cuentan con una mayor capacidad y el mismo tamaño de siempre, para que así encajen sin problema en tu cocina. Tendrás espacio de sobra para guardar toda tu compra semanal, y mantener su interior totalmente organizado.",in stock,new,929.00 EUR,696.75 EUR,https://images.samsung.com/is/image/samsung/es-one-door-rr39m7165s9-rr39m7165s9-es-Silver-68774411?$320_320_PNG$,8806088756790.0,Productos | Electrodomesticos | Frigorificos | Twin | Electrodomesticos | Frigorificos | Twin,Samsung,https://www.samsung.com/es/refrigerators/one-door/385l-real-steel-rr39m7165s9-es/?cid=es_pd_ppc_google_frigorandiacute;fico-twin-387l-inox-clasificaciandoacute;n-energandeacute;tica-e-rr39m7165s9-rr39m7165s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none,da-refrigerator,cid=es_pd_ppc_google_frigorandiacute;fico-twin-387l-inox-clasificaciandoacute;n-energandeacute;tica-e-rr39m7165s9-rr39m7165s9-es_ongoing_da-refrigerator-automatic-feed_pla_none_none
