"andaacute;","a"
"andeacute;","e"
"andiacute;","i"
"andoacute;","o"
"anduacute;","u"
"andntilde;","n"
"andquot;",""
"andtrade;",""
"andcopy;",""
"andrdquo;",""
"andreg;",""
"andnbsp;"," "
"andiquest;",""
"andldquo;",""
"andlt;brgt;",""
"andbull;",""
"andlt;spangt;",""
"#12644;",""
"andlt;/spangt;",""
"andccedil;","c"
"andatilde;","a"
"andacirc;", "a"
"andAacute;", "A"
"andrsquo;",""
"andocirc;", "o"
"andecirc;", "e"
"andEacute;", "E"
"andagrave;", "a"
"andmdash;", "—"
"andAgrave;", "A"
"andotilde;", "o"
"andordf;", ""
