,Id,Link
0,EP-TA20EWEUGWW,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-smartphones/Cargadores-y-Bater%C3%ADas/Cargador-de-carga-r%C3%A1pida/p/EP-TA20EWEUGWW
1,GE87M-X/XEC,https://www.samsung.com/es/microwave-ovens/convection/microwave-ge87m-x/
2,MG23F301TAK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-con-grill-de-23-L-MG23F301TAK/p/MG23F301TAK/EC
5,VCA-RBT20,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot/p/VCA-RBT20
6,VCA-RBT30,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bater%C3%ADa-Navibot-S/p/VCA-RBT30
7,VCA-VP78MF,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-aspiradores/Bolsa-Aspirador-%28x4%29-%2B-Filtro-premotor/p/VCA-VP78MF
8,RZ32M7135S9/ES,https://www.samsung.com/es/refrigerators/one-door/315l-ez-clean-steel-rz32m7135s9-es/
9,RR39M7165S9/ES,https://www.samsung.com/es/refrigerators/one-door/385l-real-steel-rr39m7165s9-es/
10,VG-SOCM15/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Cable-%C3%93ptico-Casi-Invisible-de-15-metros/p/VG-SOCM15/XC
11,MB-MC32GA/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC32GA/EU
12,MC28M6055CS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Hornos-microondas-de-convecci%C3%B3n-MC28M6055CS/p/MC28M6055CS/EC
13,VG-SGSM11S/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Soporte-de-televisor-Peana-Samsung-Tower-VG-SGSM11S/p/VG-SGSM11S/XC
14,SK-DA,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora-de-uso-dom%C3%A9stico/p/SK-DA
15,SK-DH,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-electrodom%C3%A9sticos/Acc-lavadoras/Kit-de-uni%C3%B3n-lavadora-y-secadora/p/SK-DH
16,SKK-DD,https://www.samsung.com/es/home-appliance-accessories/kit-skk-dd-skk-dd/
17,MU-PA500B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T5-SATA-500GB/p/MU-PA500B/EU
18,DW60M6050FW/EC,https://www.samsung.com/es/dishwashers/freestanding/14-place-settings-white-dw60m6050fw-ec/
19,DW60M6050FS/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-6-de-14-cubiertos-DW60M6050FS/p/DW60M6050FS/EC
20,DW60M6040FW/EC,https://www.samsung.com/es/dishwashers/freestanding/13-place-settings-white-dw60m6040fw-ec/
21,MZ-76P256B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P256B/EU
22,MZ-76P512B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-PRO-SATA-1TB/p/MZ-76P512B/EU
23,MZ-76E1T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E1T0B/EU
24,MZ-76E250B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E250B/EU
25,MZ-76E500B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Discos-S%C3%B3lidos-SSD/SSD-860-EVO-SATA-1TB/p/MZ-76E500B/EU
26,MU-PA2T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA2T0B/EU
27,MU-PA1T0B/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/SSD-Port%C3%A1til/Portable-SSD-T5-1TB/p/MU-PA1T0B/EU
28,MB-MJ128GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ128GA/EU
29,MB-MJ32GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ32GA/EU
30,MB-MJ64GA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/MicroSD-128GB-%2B-adaptador-PRO-ENDURANCE/p/MB-MJ64GA/EU
31,MG23J5133AK/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AK/p/MG23J5133AK/EC
32,MG23J5133AG/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Hornos---Microondas/Horno-microondas-23L-MG23J5133AG/p/MG23J5133AG/EC
33,MU-PB1T0B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB1T0B/EU
34,MU-PB2T0B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB2T0B/EU
35,MU-PB500B/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-X5/p/MU-PB500B/EU
36,VG-SCFN49BM/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-49%E2%80%9D/p/VG-SCFN49BM/XC
37,EB-U1200CSEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Wireless-Battery-Pack/p/EB-U1200CSEGWW
38,VG-SCFN49DP/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-49%E2%80%9D/p/VG-SCFN49DP/XC
39,NK36N9804VB/UR,https://www.samsung.com/es/cooking-appliances/hoods/wall-mount-hood-nk36n9804vb-ur/
40,MG22M8074CT/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/MWO%3AMicroWaveOven/Microondas-de-Integraci%C3%B3n-22L-850W-Inox-MG22M8074CT/p/MG22M8074CT/EC
41,MG22M8054AK/EC,https://www.samsung.com/es/microwave-ovens/grill/mg22m8054ak/
42,NZ63R3727AK/EC,https://www.samsung.com/es/cooking-appliances/hobs/induction-hob-with-3-burners-nz63r3727ak-ec/
43,SMC-ES-MOB-3,https://shop.samsung.com/es/Samsung-Care%2B/Samsung-Care%2B-%282-a%C3%B1os%29/p/SMC-ES-MOB-3
44,NV68R3370RS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Hornos/Horno-Dual-Fan-68L-Pirol%C3%ADtico-NV68R3370RS/p/NV68R3370RS/EC
45,NV75K5571RS/EC,https://www.samsung.com/es/cooking-appliances/ovens/electric-oven-nv75k5571rs-ec/
46,NV75N7677RS/EC,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Hornos/Horno-Dual-Cook-Flex-75L-Pirol%C3%ADtico-con-SmartThings-NV75N7677RS/p/NV75N7677RS/EC
47,NK36M5060SS/UR,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Campanas/Campana-Extractora-Decorativa-acero-inoxidable-NK36M5060SS/p/NK36M5060SS/UR
48,EP-TA800XWEGWW,https://www.samsung.com/es/smartphones/galaxy-z-fold3-5g/
49,SM-R830NZDAPHE,https://www.samsung.com/es/watches/galaxy-watch-active/galaxy-watch-active2-40mm-pink-sm-r830nzdaphe/buy/
50,EP-N5105TBEGWW,https://www.samsung.com/es/smartphones/galaxy-z-fold3-5g/
51,EP-TA800XBEGWW,https://www.samsung.com/es/smartphones/galaxy-z-fold3-5g/
52,EP-TA845XWEGWW,https://www.samsung.com/es/smartphones/galaxy-z-fold3-5g/
53,NZ64R9787GK/EC,https://www.samsung.com/es/cooking-appliances/hobs/induction-hob-with-4-burners-nz64r9787gk-ec/
54,UE24N4305AKXXC,https://shop.samsung.com/es/Productos/TV-Audio/Televisores/Full-HD-HD/Televisor-HD-80cm-24%22-Smart-TV-Serie-N4305/p/UE24N4305AKXXC
55,EP-TA20EBECGWW,https://www.samsung.com/es/mobile-accessories/wall-carge-ta20-ep-ta20ebecgww/
56,EP-DA705BBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-USB-Tipo-C/p/EP-DA705BBEGWW
57,EP-L1100NBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Car-Charger-Duo/p/EP-L1100NBEGWW
58,RB37J500MWW/EF,https://www.samsung.com/es/refrigerators/bottom-mount-freezer/rb7300t-large-capacity-spacemax-385l-white-rb38t605dww-ef/
59,EP-DG930IBEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-Tipo-C-2016/p/EP-DG930IBEGWW
60,VG-SGSR11S/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Soporte-de-televisor-Peana-Samsung-Tower-2019-VG-SGSR11S/p/VG-SGSR11S/XC
61,EP-DA705BWEGWW,https://shop.samsung.com/es/DISPOSITIVOS-M%C3%93VILES/Mobile-Phone/Cable-USB-Tipo-C/p/EP-DA705BWEGWW
62,WMN750M/XC,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-televisi%C3%B3n/Mini-soporte-de-pared-WMN750M-TVS-hasta-2020/p/WMN750M/XC
63,VG-SOCR15/XC,Error getting the final link
64,WMN-M15EA/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Soporte-de-pared-%22No-Gap%22-WMN-M15E/p/WMN-M15EA/XC
65,NK24M5060SS/UR,https://shop.samsung.com/es/Productos/Electrodom%C3%A9sticos/Cocina/Campanas/Campana-Extractora-Decorativa-Acero-Inoxidable-NK24M5060SS/p/NK24M5060SS/UR
66,RZ32M7535B1/ES,https://www.samsung.com/es/refrigerators/one-door/315l-black-doi-rz32m7535b1-es/
67,MU-PC500K/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-touch-500gb-black-mu-pc500k-ww/
68,MU-PC1T0K/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-touch-1tb-black-mu-pc1t0k-ww/
69,RR39M7565WW/ES,https://www.samsung.com/es/refrigerators/one-door/rr39-385l-white-rr39m7565ww-es/
70,RZ32M7535WW/ES,https://www.samsung.com/es/refrigerators/one-door/rz32-315l-ivorywhite-rz32m7535ww-es/
71,QE43LS01TAUXXC,https://www.samsung.com/es/lifestyle-tvs/the-serif/ls01t-43-inch-the-serif-4k-smart-tv-cloud-white-qe43ls01tauxxc/
72,RR39M7565B1/ES,https://www.samsung.com/es/refrigerators/one-door/385l-metal-graphite-rr39m7565b1-es/
73,UE32T4305AKXXC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/TV-T4305-Full-HD-Smart-TV-%282020%29/p/UE32T4305AKXXC
74,QE43LS01TBUXXC,https://www.samsung.com/es/lifestyle-tvs/the-serif/ls01tbu-43-inch-the-serif-4k-smart-tv-cotton-blue-qe43ls01tbuxxc/
75,SM-P610NZAAPHE,https://www.samsung.com/es/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-gray-64gb-wi-fi-sm-p610nzaaphe/buy/
76,SM-P615NZAAPHE,https://www.samsung.com/es/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-gray-64gb-lte-sm-p615nzaaphe/buy/
77,EF-BP610PLEGEU,https://www.samsung.com/es/mobile-accessories/galaxy-tab-s6-lite-book-cover-ef-bp610plegeu/
78,SM-P615NZBAPHE,https://www.samsung.com/es/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-blue-coral-64gb-lte-sm-p615nzbaphe/buy/
79,EF-BP610PPEGEU,https://www.samsung.com/es/mobile-accessories/galaxy-tab-s6-lite-book-cover-ef-bp610ppegeu/
80,EJ-PP610BJEGEU,https://www.samsung.com/es/mobile-accessories/s-pen-galaxy-tab-s6-lite-ej-pp610bjegeu/
81,HW-Q60T/ZF,https://www.samsung.com/es/audio-devices/soundbar/5-1-ch-soundbar-black-hw-q60t-zf/
82,MG28F303TAK/EC,https://www.samsung.com/es/microwave-ovens/grill/microwave-mg28f303tak/
83,MG30T5018UW/EC,https://www.samsung.com/es/microwave-ovens/grill/microwave-mg30t5018uw/
84,MU-PC1T0T/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-1tb-gray-mu-pc1t0t-ww/
85,MU-PC1T0S/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-touch-1tb-silver-mu-pc1t0s-ww/
86,MU-PC1T0R/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-1tb-red-mu-pc1t0r-ww/
87,MU-PC2T0T/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-2tb-gray-mu-pc2t0t-ww/
88,MU-PC2T0S/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-touch-2tb-silver-mu-pc2t0s-ww/
89,MU-PC2T0R/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-2tb-red-mu-pc2t0r-ww/
90,MU-PC500T/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-500gb-gray-mu-pc500t-ww/
91,MU-PC500S/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-touch-500gb-silver-mu-pc500s-ww/
92,MU-PC500R/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-500gb-red-mu-pc500r-ww/
93,MU-PC1T0H/WW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Portable-SSD-T7/p/MU-PC1T0H/WW
94,MU-PC2T0H/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-2tb-blue-mu-pc2t0h-ww/
95,MU-PC500H/WW,https://www.samsung.com/es/memory-storage/portable-ssd/portable-ssd-t7-500gb-blue-mu-pc500h-ww/
96,VG-SCFT50WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50WT/XC
97,VG-SCFT32BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BE/XC
98,VG-SCFT32BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BL/XC
99,VG-SCFT32BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32BW/XC
100,VG-SCFT75BL/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft75bexc-vg-scft75bl-xc/
101,VG-SCFT75BW/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft75bexc-vg-scft75bw-xc/
102,VG-SCFT43BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BE/XC
103,VG-SCFT50BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BL/XC
104,VG-SCFT50BE/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BE/XC
105,VG-SCFT43BL/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BL/XC
106,VG-SCFT43BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43BW/XC
107,VG-SCFT55BL/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft55-vg-scft55bl-xc/
108,VG-SCFT65BW/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft65-vg-scft65bw-xc/
109,VG-SCFT50BW/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-50%E2%80%9D/p/VG-SCFT50BW/XC
110,VG-SCFT55BW/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft55-vg-scft55bw-xc/
111,VG-SCFT65BL/XC,https://www.samsung.com/es/tv-accessories/customizable-frame-vg-scft65-vg-scft65bl-xc/
112,VG-SCFT43WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-43%E2%80%9D-Wengu%C3%A9/p/VG-SCFT43WT/XC
113,VG-SCFT32WT/XC,https://shop.samsung.com/es/TV-AUDIO/CTV%3AColorTV/Marco-THE-FRAME-32%E2%80%9D/p/VG-SCFT32WT/XC
114,HW-T420/ZF,https://shop.samsung.com/es/Productos/TV-Audio/Audio-V%C3%ADdeo/Barras-y-Accesorios-de-Sonido/Barra-de-Sonido-HW-T420-Dolby-Digital-2-1-Bluetooth-%282020%29/p/HW-T420/ZF
115,HW-T400/ZF,https://shop.samsung.com/es/TV-AUDIO/HA%3AHTS/Barra-de-Sonido-HW-T400-Dolby-Digital-2-0-Bluetooth-%282020%29/p/HW-T400/ZF
116,MUF-32AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-32AB/APC
117,MUF-32BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-32BE4/APC
118,MZ-77Q1T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q1T0BW
119,MZ-77Q2T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q2T0BW
120,DW50R4070FW/EC,https://shop.samsung.com/es/ELECTRODOM%C3%89STICOS/WM%3AWashingMachine/Lavavajillas-Serie-5-de-10-cubiertos-Blanco-DW50R4070FW/p/DW50R4070FW/EC
121,MUF-128DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-128DB/APC
122,MUF-256BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-256BE4/APC
123,MZ-77Q4T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q4T0BW
124,MUF-64AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-64AB/APC
125,MUF-256DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-256DB/APC
126,MZ-77Q8T0BW,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/SSD-870-QVO-SATA-III/p/MZ-77Q8T0BW
127,MUF-32DB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/Memoria-USB-Titan-Gray-Plus/p/MUF-32DB/APC
128,MUF-64BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-64BE4/APC
129,MUF-256AB/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/FIT-Titan-Gray-Plus/p/MUF-256AB/APC
130,MUF-128BE4/APC,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/BAR-Titan-Gray-Plus/p/MUF-128BE4/APC
131,NZ63R3727BK/UR,https://www.samsung.com/es/cooking-appliances/hobs/cooktop-nz63r3727bk-nz63r3727bk-ur/
132,SM-P610NZAEPHE,https://www.samsung.com/es/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-blue-coral-64gb-wi-fi-sm-p610nzbaphe/buy/
133,SM-P615NZAEPHE,https://www.samsung.com/es/tablets/galaxy-tab-s/galaxy-tab-s6-lite-10-4-inch-gray-128gb-lte-sm-p615nzaephe/buy/
134,NV75N5671RS/EC,https://www.samsung.com/es/cooking-appliances/ovens/electric-oven-nv75n5671rs-ec/
135,SMC-ES-MOB-AMU-FOC,https://shop.samsung.com/es/Samsung-Care%2B/Samsung-Care%2B-%282-a%C3%B1os%29/p/SMC-ES-MOB-AMU-FOC
136,MB-MC512HA/EU,https://shop.samsung.com/es/Productos/IT/Almacenamiento/Tarjetas-de-memoria/EVO-Plus-Tarjeta-microSD-32GB/p/MB-MC512HA/EU
137,MB-MC128HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC128HA/EU
138,MB-MC256HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC256HA/EU
139,MB-MC64HA/EU,https://shop.samsung.com/es/INFORM%C3%81TICA/Memory/EVO-Plus-Tarjeta-microSD/p/MB-MC64HA/EU
140,SM-N980FZAGEUB,https://www.samsung.com/es/smartphones/galaxy-note20/buy/?modelCode=SM-N980FZAGEUB
141,EF-DT970BBSGES,https://www.samsung.com/es/mobile-accessories/galaxy-tab-s7-plus-book-cover-keyboard-dt970-ef-dt970bbsges/
142,SM-R840NZKAEUB,https://www.samsung.com/es/watches/watchstudio/
143,SM-R850NZDAEUB,https://www.samsung.com/es/watches/galaxy-watch/galaxy-watch4-classic-black-bt-sm-r880nzkaphe/buy/
144,EJ-PT870BSEGEU,https://shop.samsung.com/es/Productos/Accesorios/Accesorios-tablets/S-Pen-Tablets/S-Pen-Galaxy-Tab-S7/p/EJ-PT870BSEGEU
