reference,upc_ean,designation,description,product_url,image_url,brand,condition,availability,regular_price,current_price,category,stock,norma_shipping_cost
DW60M5050FS/EC,8801643474294,DW60M5050FS Máquina de Lavar Loiça F,"Com o amplo ecrã LED, de fácil leitura, pode monitorizar e controlar a lavagem da sua loiça. O ecrã permite verificar as configurações, o tempo restante de lavagem e o progresso do ciclo. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523728226;331423400;s?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-stss-dw60m5050fs-ec/?cid=pt_pd_affiliate_kuantokusta_dw60m5050fs-maquina-de-lavar-loica-f-prateado-13-conjuntos-dw60m5050fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dw60m5050fs-dw60m5050fs-ec-frontsilver-117549068?$320_320_PNG$,Samsung,new,in stock,589.90 EUR,489.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A+ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+,,0.0 EUR
DW60M6040FS/EC,8806088923529,DW60M6040FS Máquina de Lavar Loiça E,"Com o amplo ecrã LED, de fácil leitura, pode monitorizar e controlar a lavagem da sua loiça. O ecrã permite verificar as configurações, o tempo restante de lavagem e o progresso do ciclo. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451397;331505214;y?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-stss-dw60m6040fs-ec/?cid=pt_pd_affiliate_kuantokusta_maquina-de-lavar-loica-samsung-prateado-13-conjuntos-dw60m6040fs-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dishwashers-dw60m6040fs-dw60m6040fs-ec-frontsilver-70658852?$320_320_PNG$,Samsung,new,in stock,679.89 EUR,559.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,,0.0 EUR
LS24D330HSX/EN,8806088440835,24” FHD Monitor para Jogos D330,"O monitor Samsung consegue lidar com toda a atividade dos filmes de ação, jogos e desportos graças ao rápido tempo de resposta de 1 milissegundo. Poderá visualizar mudanças rápidas de movimentos no ecrã de forma perfeita e harmoniosa sem qualquer distorção, vibração ou arrasto. Não terá desfasamentos na imagem durante as suas partidas, para que não se distraia nos momentos cruciais. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451394;331505211;s?https://www.samsung.com/pt/monitors/flat/fhd-gaming-monitor-with-1ms-fast-response-time-24-inch-ls24d330hsx-en/?cid=pt_pd_affiliate_kuantokusta_24-fhd-monitor-para-jogos-d330-ls24d330hsx-en_ongoing_it-monitor-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-flat-gaming-330h-ls24d330hsx-en-front-72994167?$320_320_PNG$,Samsung,new,out of stock,144.00 EUR,144.00 EUR,N/A,,0.0 EUR
DW60M5050FW/EC,8801643474300,DW60M5050FW Máquina de Lavar Loiça F,"Com o amplo ecrã LED, de fácil leitura, pode monitorizar e controlar a lavagem da sua loiça. O ecrã permite verificar as configurações, o tempo restante de lavagem e o progresso do ciclo. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451391;331504608;y?https://www.samsung.com/pt/dishwashers/freestanding/13-place-settings-white-dw60m5050fw-ec/?cid=pt_pd_affiliate_kuantokusta_dw60m5050fw-maquina-de-lavar-loica-f-branco-13-conjuntos-dw60m5050fw-ec_ongoing_da-dishwasher-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-dw60m5050fw-dw60m5050fw-ec-frontwhite-117555332?$320_320_PNG$,Samsung,new,out of stock,539.90 EUR,459.00 EUR,Produtos | Maquina de loica | Eficiencia Energetica A+ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+,,0.0 EUR
MS23K3513AW/EC,8806088219639,"MS23K3513AW Micro-Ondas Simples com Cerâmica Enamel, 23L","O seu algoritmo de descongelamento automático calcula o tempo de descongelamento correto para 5 tipos de alimentos comuns, pelo que leva muito menos tempo a preparar os ingredientes.
",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451385;331504602;v?https://www.samsung.com/pt/microwave-ovens/solo/microwave-oven-solo-ms23k3513awec/?cid=pt_pd_affiliate_kuantokusta_micro-ondas-samsung-simples-23l-branco-ms23k3513aw-ec_ongoing_da-microwave-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-microwave-oven-solo-ms23k3513awec-ms23k3513aw-ec-frontwhite-106100666?$320_320_PNG$,Samsung,new,in stock,134.89 EUR,114.90 EUR,Produtos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas Simples,,0.0 EUR
RL4363FBASL/EF,8806085204829,"RL4363FBASL Combinado com Dispensador de Água, 458 L, F","Conserve os seus alimentos e, ao mesmo tempo, o ambiente. As tecnologias eficientes, como o Compressor Digital Inverter ou a iluminação LED, ajudam a preservar energia, a reduzir a emissão de gases com efeito estufa e a diminuir a despesa de eletricidade. ",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451382;331504599;h?https://www.samsung.com/pt/refrigerators/bottom-mount-freezer/432l-ez-clean-steel-rl4363fbasl-ef/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-combinado-com-dispensador-de-agua-prateado-458-l-rl4363fbasl-ef_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-refrigerator--bottom-freezer-rl4363fbasl-ef-frontsilver-61445848?$320_320_PNG$,Samsung,new,preorder,1199.90 EUR,999.00 EUR,Produtos | Frigorificos | Frigorificos Combinados | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Combinados,,0.0 EUR
RT29K5030S8/ES,8806088228143,"RT29K5030S8 com Twin Cooling Plus™, 299 L","O  sistema Twin Cooling Plus™, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um nível de humidade de até 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451379;331504596;k?https://www.samsung.com/pt/refrigerators/top-mount-freezer/300l-look-inox-rt29k5030s8-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-com-twin-cooling-plus-prateado-300-l-rt29k5030s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030s8-rt29k5030s8-es-001-front-silver?$320_320_PNG$,Samsung,new,in stock,659.90 EUR,539.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
RT32K5030WW/ES,8806088145914,"RT32K5030WW com Twin Cooling Plus™, 320 L","O  sistema Twin Cooling Plus™, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um nível de humidade de até 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451376;331504593;e?https://www.samsung.com/pt/refrigerators/top-mount-freezer/321l-white-rt32k5030ww-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-com-twin-cooling-plus-branco-321-l-rt32k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030ww-rt32k5030ww-es-001-front-white?$320_320_PNG$,Samsung,new,in stock,724.90 EUR,599.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
RT38K5530S8/ES,8806088228068,"RT38K5530S8 com Twin Cooling Plus™, 384 L","O  sistema Twin Cooling Plus™, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um nível de humidade de até 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451373;331504590;y?https://www.samsung.com/pt/refrigerators/top-mount-freezer/384l-look-inox-rt38k5530s8-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-twin-cooling-plus-prateado-384-l-rt38k5530s8-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt38k5530s8-rt38k5530s8-es-001-front-silver?$320_320_PNG$,Samsung,new,in stock,879.91 EUR,679.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
RT29K5030WW/ES,8806088145433,"RT29K5030WW com Twin Cooling Plus™, 299 L","O  sistema Twin Cooling Plus™, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um nível de humidade de até 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",<![CDATA[https://ad.doubleclick.net/ddm/clk/523451370;331504587;b?https://www.samsung.com/pt/refrigerators/top-mount-freezer/300l-white-rt29k5030ww-es/?cid=pt_pd_affiliate_kuantokusta_frigorifico-samsung-com-twin-cooling-plus-branco-300-l-rt29k5030ww-es_ongoing_da-refrigerator-automatic-feed_pla_none_none]]>,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030ww-rt29k5030ww-es-001-front-white?$320_320_PNG$,Samsung,new,in stock,619.90 EUR,519.00 EUR,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,,0.0 EUR
