Id,Title,Description,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
SM-A426BZKDEUB,Galaxy A42 5G,"-Black
-4Gb_128Gb
-Lte",in stock,new,379.90 EUR,349.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a426bzkdeub/gallery/pt-galaxy-a42-5g-a426-sm-a426bzkdeub-382427009?$320_320_PNG$,8806090725036.0,Produtos | Smartphones | Galaxy A Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-a/galaxy-a42-5g-black-128gb-sm-a426bzkdeub/buy/?cid=test
SM-A426BZWDEUB,Galaxy A42 5G,"-White
-4Gb_128Gb
-Lte",in stock,new,379.90 EUR,349.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/sm-a426bzwdeub/gallery/pt-galaxy-a42-5g-a426-sm-a426bzwdeub-382427022?$320_320_PNG$,8806090725005.0,Produtos | Smartphones | Galaxy A Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-a/galaxy-a42-5g-white-128gb-sm-a426bzwdeub/buy/?cid=test
SM-G991BZADEUB,Galaxy S21 5G,"-Gray
-8Gb_128Gb
-5G",in stock,new,879.90 EUR,879.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzadeub-368964721?$320_320_PNG$,8806090892776.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZADEUB&amp;cid=test
SM-G991BZAGEUB,Galaxy S21 5G,"-Gray
-8Gb_256Gb
-5G",in stock,new,929.90 EUR,929.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzageub-368964740?$320_320_PNG$,8806090892349.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZAGEUB&amp;cid=test
SM-G991BZIDEUB,Galaxy S21 5G,"-Pink
-8Gb_128Gb
-5G",in stock,new,879.90 EUR,879.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzideub-368964759?$320_320_PNG$,8806090887550.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZIDEUB&amp;cid=test
SM-G991BZIGEUB,Galaxy S21 5G,"-Pink
-8Gb_256Gb
-5G",in stock,new,929.90 EUR,929.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzigeub-368964778?$320_320_PNG$,8806090886669.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZIGEUB&amp;cid=test
SM-G991BZVDEUB,Galaxy S21 5G,"-Violet
-8Gb_128Gb
-5G",in stock,new,879.90 EUR,879.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzvdeub-368964797?$320_320_PNG$,8806090891229.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZVDEUB&amp;cid=test
SM-G991BZVGEUB,Galaxy S21 5G,"-Violet
-8Gb_256Gb
-5G",in stock,new,929.90 EUR,929.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzvgeub-368964816?$320_320_PNG$,8806090892189.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZVGEUB&amp;cid=test
SM-G991BZWDEUB,Galaxy S21 5G,"-White
-8Gb_128Gb
-5G",in stock,new,879.90 EUR,879.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzwdeub-368964835?$320_320_PNG$,8806090886751.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZWDEUB&amp;cid=test
SM-G991BZWGEUB,Galaxy S21 5G,"-White
-8Gb_256Gb
-5G",in stock,new,929.90 EUR,929.90 EUR,https://images.samsung.com/is/image/samsung/p6pim/pt/galaxy-s21/gallery/pt-galaxy-s21-5g-g991-sm-g991bzwgeub-368964854?$320_320_PNG$,8806090886638.0,Produtos | Smartphones | Galaxy S21 Series | Produtos | Smartphones | Galaxy S Series | Galaxy S21 Series,Samsung,https://www.samsung.com/pt/smartphones/galaxy-s21-5g/buy/?modelCode=SM-G991BZWGEUB&amp;cid=test
