Id,Title,Description,Item_Group_Id,Availability,Condition,Price,Sale_Price,Image_Link,Gtin,Product_Type,Brand,Link
DW60M5050FS/EC,DW60M5050FS M&aacute;quina de Lavar Loi&ccedil;a F,"Com o amplo ecr&atilde; LED, de f&aacute;cil leitura, pode monitorizar e controlar a lavagem da sua loi&ccedil;a. O ecr&atilde; permite verificar as configura&ccedil;&otilde;es, o tempo restante de lavagem e o progresso do ciclo. ",DW60M5050FS,in stock,new,589.90 EUR,489.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw60m5050fs-dw60m5050fs-ec-frontsilver-117549068?$ORIGIN_PNG$,8801643474294,Produtos | Maquina de loica | Eficiencia Energetica A+ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60M5050FS-M%C3%A1quina-de-Labar-Loi%C3%A7a-A%2B/p/DW60M5050FS/EC
DW60M6040FS/EC,DW60M6040FS M&aacute;quina de Lavar Loi&ccedil;a E,"Com o amplo ecr&atilde; LED, de f&aacute;cil leitura, pode monitorizar e controlar a lavagem da sua loi&ccedil;a. O ecr&atilde; permite verificar as configura&ccedil;&otilde;es, o tempo restante de lavagem e o progresso do ciclo. ",DW60M6040FS,in stock,new,679.89 EUR,559.00 EUR,https://images.samsung.com/is/image/samsung/pt-dishwashers-dw60m6040fs-dw60m6040fs-ec-frontsilver-70658852?$ORIGIN_PNG$,8806088923529,Produtos | Maquina de loica | Eficiencia Energetica A++ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A++,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60M6040FS-M%C3%A1quina-de-Lavar-Loi%C3%A7a-A%2B/p/DW60M6040FS/EC
LS24D330HSX/EN,24&quot; FHD Monitor para Jogos D330,"O monitor Samsung consegue lidar com toda a atividade dos filmes de a&ccedil;&atilde;o, jogos e desportos gra&ccedil;as ao r&aacute;pido tempo de resposta de 1 milissegundo. Poder&aacute; visualizar mudan&ccedil;as r&aacute;pidas de movimentos no ecr&atilde; de forma perfeita e harmoniosa sem qualquer distor&ccedil;&atilde;o, vibra&ccedil;&atilde;o ou arrasto. N&atilde;o ter&aacute; desfasamentos na imagem durante as suas partidas, para que n&atilde;o se distraia nos momentos cruciais. ",S24D330H,out of stock,new,144.00 EUR,144.00 EUR,https://images.samsung.com/is/image/samsung/pt-flat-gaming-330h-ls24d330hsx-en-front-72994167?$ORIGIN_PNG$,8806088440835,,Samsung,https://shop.samsung.com/pt/Comom/Monitor/24%22-FHD-Monitor-para-Jogos-D330/p/LS24D330HSX/EN
DW60M5050FW/EC,DW60M5050FW M&aacute;quina de Lavar Loi&ccedil;a F,"Com o amplo ecr&atilde; LED, de f&aacute;cil leitura, pode monitorizar e controlar a lavagem da sua loi&ccedil;a. O ecr&atilde; permite verificar as configura&ccedil;&otilde;es, o tempo restante de lavagem e o progresso do ciclo. ",DW60M5050FW,in stock,new,539.90 EUR,459.00 EUR,https://images.samsung.com/is/image/samsung/pt-dw60m5050fw-dw60m5050fw-ec-frontwhite-117555332?$ORIGIN_PNG$,8801643474300,Produtos | Maquina de loica | Eficiencia Energetica A+ | Produtos | Eletrodomesticos | Maquina de loica | Eficiencia Energetica A+,Samsung,https://shop.samsung.com/pt/Comom/WM-%3A-WashingMachine/DW60M5050FW-M%C3%A1quina-de-Lavar-Loi%C3%A7a-A%2B/p/DW60M5050FW/EC
MS23K3513AW/EC,"MS23K3513AW Micro-Ondas Simples com Cer&acirc;mica Enamel, 23L","O seu algoritmo de descongelamento autom&aacute;tico calcula o tempo de descongelamento correto para 5 tipos de alimentos comuns, pelo que leva muito menos tempo a preparar os ingredientes.
",MS23K3513AW,preorder,new,134.89 EUR,114.90 EUR,https://images.samsung.com/is/image/samsung/pt-microwave-oven-solo-ms23k3513awec-ms23k3513aw-ec-frontwhite-106100666?$ORIGIN_PNG$,8806088219639,Produtos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Micro-ondas | Micro-ondas Simples | Produtos | Eletrodomesticos | Encastre | Micro-ondas | Micro-ondas Simples,Samsung,https://shop.samsung.com/pt/Comom/MWO-%3A-MicroWaveOven/MS23K3513AW-Micro-Ondas-Simples-com-Cer%C3%A2mica-Enamel%2C-23L/p/MS23K3513AW/EC
RL4363FBASL/EF,"RL4363FBASL Combinado com Dispensador de &Aacute;gua, 458 L, F","Conserve os seus alimentos e, ao mesmo tempo, o ambiente. As tecnologias eficientes, como o Compressor Digital Inverter ou a ilumina&ccedil;&atilde;o LED, ajudam a preservar energia, a reduzir a emiss&atilde;o de gases com efeito estufa e a diminuir a despesa de eletricidade. ",RL4363FBASL,preorder,new,1199.90 EUR,999.00 EUR,https://images.samsung.com/is/image/samsung/pt-refrigerator--bottom-freezer-rl4363fbasl-ef-frontsilver-61445848?$ORIGIN_PNG$,8806085204829,Produtos | Frigorificos | Frigorificos Combinados | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Combinados,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RL4363FBASL-Combinado-com-Dispensador-de-%C3%81gua%2C-458-L%2C-F/p/RL4363FBASL/EF
RT29K5030S8/ES,"RT29K5030S8 com Twin Cooling Plus&trade;, 299 L","O  sistema Twin Cooling Plus&trade;, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um n&iacute;vel de humidade de at&eacute; 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",RT29K5030S8,in stock,new,659.90 EUR,539.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030s8-rt29k5030s8-es-001-front-silver?$ORIGIN_PNG$,8806088228143,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT29K5030S8-com-Twin-Cooling-Plus%E2%84%A2%2C-299-L/p/RT29K5030S8/ES
RT32K5030WW/ES,"RT32K5030WW com Twin Cooling Plus&trade;, 320 L","O  sistema Twin Cooling Plus&trade;, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um n&iacute;vel de humidade de at&eacute; 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",RT32K5030WW,in stock,new,724.90 EUR,599.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt32k5030ww-rt32k5030ww-es-001-front-white?$ORIGIN_PNG$,8806088145914,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT32K5030WW-com-Twin-Cooling-Plus%E2%84%A2%2C-321-L/p/RT32K5030WW/ES
RT38K5530S8/ES,"RT38K5530S8 com Twin Cooling Plus&trade;, 384 L","O  sistema Twin Cooling Plus&trade;, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um n&iacute;vel de humidade de at&eacute; 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",RT38K5530S8,in stock,new,879.91 EUR,679.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt38k5530s8-rt38k5530s8-es-001-front-silver?$ORIGIN_PNG$,8806088228068,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT38K5530S8-com-Twin-Cooling-Plus%E2%84%A2%2C-384-L/p/RT38K5530S8/ES
RT29K5030WW/ES,"RT29K5030WW com Twin Cooling Plus&trade;, 299 L","O  sistema Twin Cooling Plus&trade;, com arrefecimento independente de cada compartimento permite que o ar fresco circule em todos os cantos do equipamento, mantendo a temperatura uniforme e  constante, de forma  a preservar os alimentos frescos com um n&iacute;vel de humidade de at&eacute; 70%, face aos 30% de um combinado convencional*. Assim, os alimentos permanecem frescos durante mais tempo.",RT29K5030WW,in stock,new,619.90 EUR,519.00 EUR,https://images.samsung.com/is/image/samsung/pt-top-mount-freezer-rt29k5030ww-rt29k5030ww-es-001-front-white?$ORIGIN_PNG$,8806088145433,Produtos | Frigorificos | Frigorificos Duas Portas | Produtos | Eletrodomesticos | Frigorificos | Frigorificos Duas Portas,Samsung,https://shop.samsung.com/pt/Comom/REF-%3A-Refrigerator/RT29K5030WW-com-Twin-Cooling-Plus%E2%84%A2%2C-300-L/p/RT29K5030WW/ES
